	time(s)		A (um-2)
   1.5317405e-04   6.8022624e+02
   1.5674554e-04   6.7519395e+02
   1.6040031e-04   6.7012094e+02
   1.6414030e-04   6.6500807e+02
   1.6796749e-04   6.5985626e+02
   1.7188391e-04   6.5466643e+02
   1.7589166e-04   6.4943956e+02
   1.7999285e-04   6.4417665e+02
   1.8418967e-04   6.3887876e+02
   1.8848434e-04   6.3354694e+02
   1.9287915e-04   6.2818231e+02
   1.9737643e-04   6.2278600e+02
   2.0197858e-04   6.1735917e+02
   2.0668802e-04   6.1190303e+02
   2.1150728e-04   6.0641879e+02
   2.1643891e-04   6.0090772e+02
   2.2148552e-04   5.9537108e+02
   2.2664981e-04   5.8981019e+02
   2.3193451e-04   5.8422638e+02
   2.3734243e-04   5.7862099e+02
   2.4287644e-04   5.7299540e+02
   2.4853949e-04   5.6735101e+02
   2.5433458e-04   5.6168924e+02
   2.6026479e-04   5.5601151e+02
   2.6633327e-04   5.5031928e+02
   2.7254325e-04   5.4461402e+02
   2.7889803e-04   5.3889719e+02
   2.8540098e-04   5.3317031e+02
   2.9205555e-04   5.2743486e+02
   2.9886529e-04   5.2169236e+02
   3.0583380e-04   5.1594433e+02
   3.1296480e-04   5.1019230e+02
   3.2026207e-04   5.0443780e+02
   3.2772948e-04   4.9868235e+02
   3.3537102e-04   4.9292750e+02
   3.4319072e-04   4.8717478e+02
   3.5119275e-04   4.8142572e+02
   3.5938137e-04   4.7568185e+02
   3.6776091e-04   4.6994470e+02
   3.7633584e-04   4.6421577e+02
   3.8511070e-04   4.5849659e+02
   3.9409016e-04   4.5278864e+02
   4.0327900e-04   4.4709342e+02
   4.1268208e-04   4.4141239e+02
   4.2230442e-04   4.3574702e+02
   4.3215111e-04   4.3009876e+02
   4.4222740e-04   4.2446902e+02
   4.5253863e-04   4.1885921e+02
   4.6309028e-04   4.1327073e+02
   4.7388796e-04   4.0770493e+02
   4.8493741e-04   4.0216317e+02
   4.9624449e-04   3.9664676e+02
   5.0781521e-04   3.9115699e+02
   5.1965572e-04   3.8569514e+02
   5.3177232e-04   3.8026245e+02
   5.4417143e-04   3.7486012e+02
   5.5685964e-04   3.6948935e+02
   5.6984371e-04   3.6415128e+02
   5.8313051e-04   3.5884705e+02
   5.9672712e-04   3.5357774e+02
   6.1064075e-04   3.4834441e+02
   6.2487881e-04   3.4314809e+02
   6.3944884e-04   3.3798978e+02
   6.5435860e-04   3.3287044e+02
   6.6961601e-04   3.2779098e+02
   6.8522916e-04   3.2275230e+02
   7.0120636e-04   3.1775527e+02
   7.1755609e-04   3.1280068e+02
   7.3428704e-04   3.0788935e+02
   7.5140811e-04   3.0302200e+02
   7.6892837e-04   2.9819936e+02
   7.8685715e-04   2.9342210e+02
   8.0520397e-04   2.8869086e+02
   8.2397857e-04   2.8400626e+02
   8.4319093e-04   2.7936886e+02
   8.6285126e-04   2.7477919e+02
   8.8297000e-04   2.7023776e+02
   9.0355783e-04   2.6574503e+02
   9.2462571e-04   2.6130143e+02
   9.4618482e-04   2.5690736e+02
   9.6824661e-04   2.5256318e+02
   9.9082281e-04   2.4826922e+02
   1.0139254e-03   2.4402577e+02
   1.0375667e-03   2.3983309e+02
   1.0617592e-03   2.3569142e+02
   1.0865158e-03   2.3160096e+02
   1.1118496e-03   2.2756188e+02
   1.1377741e-03   2.2357431e+02
   1.1643031e-03   2.1963837e+02
   1.1914507e-03   2.1575413e+02
   1.2192313e-03   2.1192164e+02
   1.2476596e-03   2.0814094e+02
   1.2767507e-03   2.0441201e+02
   1.3065202e-03   2.0073484e+02
   1.3369837e-03   1.9710936e+02
   1.3681576e-03   1.9353551e+02
   1.4000584e-03   1.9001317e+02
   1.4327030e-03   1.8654223e+02
   1.4661087e-03   1.8312253e+02
   1.5002933e-03   1.7975392e+02
   1.5352750e-03   1.7643619e+02
   1.5710724e-03   1.7316915e+02
   1.6077044e-03   1.6995256e+02
   1.6451906e-03   1.6678618e+02
   1.6835508e-03   1.6366975e+02
   1.7228054e-03   1.6060298e+02
   1.7629754e-03   1.5758558e+02
   1.8040819e-03   1.5461725e+02
   1.8461469e-03   1.5169765e+02
   1.8891928e-03   1.4882644e+02
   1.9332423e-03   1.4600328e+02
   1.9783189e-03   1.4322780e+02
   2.0244465e-03   1.4049962e+02
   2.0716497e-03   1.3781836e+02
   2.1199535e-03   1.3518362e+02
   2.1693835e-03   1.3259500e+02
   2.2199661e-03   1.3005208e+02
   2.2717281e-03   1.2755444e+02
   2.3246971e-03   1.2510165e+02
   2.3789010e-03   1.2269327e+02
   2.4343689e-03   1.2032886e+02
   2.4911300e-03   1.1800797e+02
   2.5492147e-03   1.1573014e+02
   2.6086536e-03   1.1349493e+02
   2.6694785e-03   1.1130186e+02
   2.7317216e-03   1.0915046e+02
   2.7954160e-03   1.0704028e+02
   2.8605955e-03   1.0497084e+02
   2.9272948e-03   1.0294167e+02
   2.9955493e-03   1.0095228e+02
   3.0653953e-03   9.9002208e+01
   3.1368698e-03   9.7090973e+01
   3.2100109e-03   9.5218097e+01
   3.2848574e-03   9.3383102e+01
   3.3614490e-03   9.1585513e+01
   3.4398265e-03   8.9824852e+01
   3.5200315e-03   8.8100644e+01
   3.6021066e-03   8.6412415e+01
   3.6860954e-03   8.4759693e+01
   3.7720425e-03   8.3142008e+01
   3.8599936e-03   8.1558892e+01
   3.9499955e-03   8.0009878e+01
   4.0420958e-03   7.8494505e+01
   4.1363437e-03   7.7012312e+01
   4.2327891e-03   7.5562842e+01
   4.3314832e-03   7.4145642e+01
   4.4324786e-03   7.2760261e+01
   4.5358288e-03   7.1406253e+01
   4.6415888e-03   7.0083176e+01
   4.7498148e-03   6.8790591e+01
   4.8605642e-03   6.7528062e+01
   4.9738960e-03   6.6295160e+01
   5.0898702e-03   6.5091457e+01
   5.2085486e-03   6.3916532e+01
   5.3299941e-03   6.2769966e+01
   5.4542713e-03   6.1651347e+01
   5.5814462e-03   6.0560265e+01
   5.7115865e-03   5.9496316e+01
   5.8447611e-03   5.8459099e+01
   5.9810410e-03   5.7448218e+01
   6.1204984e-03   5.6463282e+01
   6.2632075e-03   5.5503904e+01
   6.4092440e-03   5.4569702e+01
   6.5586857e-03   5.3660295e+01
   6.7116118e-03   5.2775311e+01
   6.8681036e-03   5.1914379e+01
   7.0282443e-03   5.1077132e+01
   7.1921189e-03   5.0263207e+01
   7.3598145e-03   4.9472247e+01
   7.5314202e-03   4.8703896e+01
   7.7070271e-03   4.7957801e+01
   7.8867286e-03   4.7233616e+01
   8.0706201e-03   4.6530993e+01
   8.2587994e-03   4.5849592e+01
   8.4513663e-03   4.5189072e+01
   8.6484233e-03   4.4549097e+01
   8.8500749e-03   4.3929331e+01
   9.0564284e-03   4.3329442e+01
   9.2675933e-03   4.2749099e+01
   9.4836819e-03   4.2187974e+01
   9.7048089e-03   4.1645740e+01
   9.9310918e-03   4.1122068e+01
   1.0162651e-02   4.0616635e+01
   1.0399609e-02   4.0129116e+01
   1.0642092e-02   3.9659187e+01
   1.0890230e-02   3.9206524e+01
   1.1144153e-02   3.8770803e+01
   1.1403996e-02   3.8351701e+01
   1.1669898e-02   3.7948892e+01
   1.1942000e-02   3.7562051e+01
   1.2220447e-02   3.7190853e+01
   1.2505386e-02   3.6834971e+01
   1.2796969e-02   3.6494075e+01
   1.3095350e-02   3.6167837e+01
   1.3400689e-02   3.5855925e+01
   1.3713147e-02   3.5558005e+01
   1.4032891e-02   3.5273743e+01
   1.4360090e-02   3.5002801e+01
   1.4694918e-02   3.4744842e+01
   1.5037553e-02   3.4499524e+01
   1.5388178e-02   3.4266504e+01
   1.5746977e-02   3.4045438e+01
   1.6114143e-02   3.3835978e+01
   1.6489869e-02   3.3637778e+01
   1.6874357e-02   3.3450488e+01
   1.7267809e-02   3.3273755e+01
   1.7670435e-02   3.3107228e+01
   1.8082449e-02   3.2950554e+01
   1.8504070e-02   3.2803380e+01
   1.8935522e-02   3.2665351e+01
   1.9377033e-02   3.2536115e+01
   1.9828839e-02   3.2415320e+01
   2.0291180e-02   3.2302613e+01
   2.0764301e-02   3.2197646e+01
   2.1248454e-02   3.2100071e+01
