	time(s)		<A>		Std(A)
   1.5150000e-02   5.9770833e+01   8.4077967e+00
   1.5200000e-02   5.9625000e+01   8.5243706e+00
   1.5250000e-02   5.9500000e+01   8.4450665e+00
   1.5300000e-02   5.9437500e+01   8.4170704e+00
   1.5350000e-02   5.9437500e+01   8.2948491e+00
   1.5400000e-02   5.9229167e+01   8.3238687e+00
   1.5450000e-02   5.9187500e+01   8.3555466e+00
   1.5500000e-02   5.9041667e+01   8.3893507e+00
   1.5550000e-02   5.9083333e+01   8.4748271e+00
   1.5600000e-02   5.8958333e+01   8.5227064e+00
   1.5650000e-02   5.8833333e+01   8.5286335e+00
   1.5700000e-02   5.8833333e+01   8.5336214e+00
   1.5750000e-02   5.8729167e+01   8.5769101e+00
   1.5800000e-02   5.8687500e+01   8.4605625e+00
   1.5850000e-02   5.8625000e+01   8.5093816e+00
   1.5900000e-02   5.8500000e+01   8.3691429e+00
   1.5950000e-02   5.8333333e+01   8.2548073e+00
   1.6000000e-02   5.8354167e+01   8.2293961e+00
   1.6050000e-02   5.8187500e+01   8.2736605e+00
   1.6100000e-02   5.8250000e+01   8.4160434e+00
   1.6150000e-02   5.7958333e+01   8.3664943e+00
   1.6200000e-02   5.7916667e+01   8.4042374e+00
   1.6250000e-02   5.7958333e+01   8.3486738e+00
   1.6300000e-02   5.7750000e+01   8.4033934e+00
   1.6350000e-02   5.7687500e+01   8.2903591e+00
   1.6400000e-02   5.7479167e+01   8.1579868e+00
   1.6450000e-02   5.7354167e+01   8.1853257e+00
   1.6500000e-02   5.7291667e+01   8.2409417e+00
   1.6550000e-02   5.7000000e+01   8.2255440e+00
   1.6600000e-02   5.6895833e+01   8.2468294e+00
   1.6650000e-02   5.6833333e+01   8.3241084e+00
   1.6700000e-02   5.6687500e+01   8.2259482e+00
   1.6750000e-02   5.6604167e+01   8.2532768e+00
   1.6800000e-02   5.6562500e+01   8.2511282e+00
   1.6850000e-02   5.6479167e+01   8.1135285e+00
   1.6900000e-02   5.6395833e+01   8.2119259e+00
   1.6950000e-02   5.6250000e+01   8.0754422e+00
   1.7000000e-02   5.6062500e+01   8.0672868e+00
   1.7050000e-02   5.5875000e+01   8.1648572e+00
   1.7100000e-02   5.5895833e+01   8.1768734e+00
   1.7150000e-02   5.5895833e+01   8.2028526e+00
   1.7200000e-02   5.5770833e+01   7.8557191e+00
   1.7250000e-02   5.5708333e+01   8.0105206e+00
   1.7300000e-02   5.5708333e+01   8.0740149e+00
   1.7350000e-02   5.5645833e+01   8.0198944e+00
   1.7400000e-02   5.5687500e+01   7.8609085e+00
   1.7450000e-02   5.5625000e+01   7.8567629e+00
   1.7500000e-02   5.5583333e+01   7.9649053e+00
   1.7550000e-02   5.5604167e+01   7.9137359e+00
   1.7600000e-02   5.5500000e+01   7.8955953e+00
   1.7650000e-02   5.5500000e+01   7.8523611e+00
   1.7700000e-02   5.5375000e+01   7.9509801e+00
   1.7750000e-02   5.5250000e+01   8.1462692e+00
   1.7800000e-02   5.5187500e+01   8.2091186e+00
   1.7850000e-02   5.5187500e+01   8.1675441e+00
   1.7900000e-02   5.5125000e+01   8.2426628e+00
   1.7950000e-02   5.5125000e+01   8.2012583e+00
   1.8000000e-02   5.5125000e+01   8.1204365e+00
   1.8050000e-02   5.5020833e+01   8.1227015e+00
   1.8100000e-02   5.4916667e+01   8.1026219e+00
   1.8150000e-02   5.4937500e+01   8.0117102e+00
   1.8200000e-02   5.4958333e+01   8.0449755e+00
   1.8250000e-02   5.4791667e+01   7.9759168e+00
   1.8300000e-02   5.4666667e+01   7.8937986e+00
   1.8350000e-02   5.4583333e+01   7.7784025e+00
   1.8400000e-02   5.4500000e+01   7.7377219e+00
   1.8450000e-02   5.4395833e+01   7.7397553e+00
   1.8500000e-02   5.4416667e+01   7.6820690e+00
   1.8550000e-02   5.4437500e+01   7.5199204e+00
   1.8600000e-02   5.4333333e+01   7.6418037e+00
   1.8650000e-02   5.4333333e+01   7.6278698e+00
   1.8700000e-02   5.4354167e+01   7.5695065e+00
   1.8750000e-02   5.4270833e+01   7.6928803e+00
   1.8800000e-02   5.4208333e+01   7.7951385e+00
   1.8850000e-02   5.4104167e+01   7.9285092e+00
   1.8900000e-02   5.3979167e+01   7.9559681e+00
   1.8950000e-02   5.3895833e+01   7.8231505e+00
   1.9000000e-02   5.3979167e+01   7.7253096e+00
   1.9050000e-02   5.3958333e+01   7.7238463e+00
   1.9100000e-02   5.4041667e+01   7.6100671e+00
   1.9150000e-02   5.3916667e+01   7.7097157e+00
   1.9200000e-02   5.3979167e+01   7.9184395e+00
   1.9250000e-02   5.3916667e+01   7.8220456e+00
   1.9300000e-02   5.3812500e+01   7.8188432e+00
   1.9350000e-02   5.3750000e+01   7.7060352e+00
   1.9400000e-02   5.3666667e+01   7.7441353e+00
   1.9450000e-02   5.3541667e+01   7.6907193e+00
   1.9500000e-02   5.3500000e+01   7.6797606e+00
   1.9550000e-02   5.3500000e+01   7.7569461e+00
   1.9600000e-02   5.3458333e+01   7.4973991e+00
   1.9650000e-02   5.3458333e+01   7.5257242e+00
   1.9700000e-02   5.3562500e+01   7.5057602e+00
   1.9750000e-02   5.3437500e+01   7.4374162e+00
   1.9800000e-02   5.3395833e+01   7.3592888e+00
   1.9850000e-02   5.3333333e+01   7.3436420e+00
   1.9900000e-02   5.3270833e+01   7.4340779e+00
   1.9950000e-02   5.3187500e+01   7.4166467e+00
   2.0000000e-02   5.3270833e+01   7.2456578e+00
   2.0050000e-02   5.3187500e+01   7.3994142e+00
   2.0100000e-02   5.3104167e+01   7.3722873e+00
   2.0150000e-02   5.3187500e+01   7.2307154e+00
   2.0200000e-02   5.3187500e+01   7.1716233e+00
   2.0250000e-02   5.3125000e+01   7.2276802e+00
   2.0300000e-02   5.3125000e+01   7.2217903e+00
   2.0350000e-02   5.3083333e+01   7.1691815e+00
   2.0400000e-02   5.2979167e+01   7.2449236e+00
   2.0450000e-02   5.2833333e+01   7.1528400e+00
   2.0500000e-02   5.2895833e+01   7.0567293e+00
   2.0550000e-02   5.2791667e+01   7.1039645e+00
   2.0600000e-02   5.2770833e+01   7.2177075e+00
   2.0650000e-02   5.2770833e+01   7.3056072e+00
   2.0700000e-02   5.2708333e+01   7.3309554e+00
   2.0750000e-02   5.2687500e+01   7.4552744e+00
   2.0800000e-02   5.2666667e+01   7.5606296e+00
   2.0850000e-02   5.2604167e+01   7.5109554e+00
   2.0900000e-02   5.2437500e+01   7.5284037e+00
   2.0950000e-02   5.2562500e+01   7.6238881e+00
   2.1000000e-02   5.2437500e+01   7.2988086e+00
   2.1050000e-02   5.2375000e+01   7.3705134e+00
   2.1100000e-02   5.2145833e+01   7.4061205e+00
   2.1150000e-02   5.2166667e+01   7.5662558e+00
   2.1200000e-02   5.2312500e+01   7.4238152e+00
   2.1250000e-02   5.2187500e+01   7.3792586e+00
   2.1300000e-02   5.2062500e+01   7.4216654e+00
   2.1350000e-02   5.2020833e+01   7.3874234e+00
   2.1400000e-02   5.1937500e+01   7.4159295e+00
   2.1450000e-02   5.1916667e+01   7.4686104e+00
   2.1500000e-02   5.2000000e+01   7.5540605e+00
   2.1550000e-02   5.1958333e+01   7.5342010e+00
   2.1600000e-02   5.1791667e+01   7.5342010e+00
   2.1650000e-02   5.1645833e+01   7.3411970e+00
   2.1700000e-02   5.1458333e+01   7.3164296e+00
   2.1750000e-02   5.1458333e+01   7.4945607e+00
   2.1800000e-02   5.1395833e+01   7.4397998e+00
   2.1850000e-02   5.1395833e+01   7.3939008e+00
   2.1900000e-02   5.1395833e+01   7.3766151e+00
   2.1950000e-02   5.1354167e+01   7.3295949e+00
   2.2000000e-02   5.1062500e+01   7.4130599e+00
   2.2050000e-02   5.0979167e+01   7.4505164e+00
   2.2100000e-02   5.1083333e+01   7.5310233e+00
   2.2150000e-02   5.1083333e+01   7.5507738e+00
   2.2200000e-02   5.1041667e+01   7.5567592e+00
   2.2250000e-02   5.1041667e+01   7.4432844e+00
   2.2300000e-02   5.1041667e+01   7.3106112e+00
   2.2350000e-02   5.0958333e+01   7.5144070e+00
   2.2400000e-02   5.0895833e+01   7.5293457e+00
   2.2450000e-02   5.0750000e+01   7.5470158e+00
   2.2500000e-02   5.0666667e+01   7.5409050e+00
   2.2550000e-02   5.0645833e+01   7.6059595e+00
   2.2600000e-02   5.0770833e+01   7.5800398e+00
   2.2650000e-02   5.0666667e+01   7.6501518e+00
   2.2700000e-02   5.0687500e+01   7.6579989e+00
   2.2750000e-02   5.0583333e+01   7.6986689e+00
   2.2800000e-02   5.0562500e+01   7.7154342e+00
   2.2850000e-02   5.0583333e+01   7.8329184e+00
   2.2900000e-02   5.0708333e+01   7.7348571e+00
   2.2950000e-02   5.0479167e+01   7.6686418e+00
   2.3000000e-02   5.0479167e+01   7.6630908e+00
   2.3050000e-02   5.0416667e+01   7.6041236e+00
   2.3100000e-02   5.0270833e+01   7.6094554e+00
   2.3150000e-02   5.0208333e+01   7.4661173e+00
   2.3200000e-02   5.0166667e+01   7.4157203e+00
   2.3250000e-02   5.0062500e+01   7.4559879e+00
   2.3300000e-02   5.0250000e+01   7.5244283e+00
   2.3350000e-02   5.0000000e+01   7.5849796e+00
   2.3400000e-02   5.0000000e+01   7.4861574e+00
   2.3450000e-02   5.0020833e+01   7.5469864e+00
   2.3500000e-02   4.9937500e+01   7.5720827e+00
   2.3550000e-02   4.9812500e+01   7.6371328e+00
   2.3600000e-02   4.9958333e+01   7.5623883e+00
   2.3650000e-02   4.9958333e+01   7.4575632e+00
   2.3700000e-02   4.9750000e+01   7.4219341e+00
   2.3750000e-02   4.9770833e+01   7.3809403e+00
   2.3800000e-02   4.9645833e+01   7.4161686e+00
   2.3850000e-02   4.9666667e+01   7.5409050e+00
   2.3900000e-02   4.9625000e+01   7.4251585e+00
   2.3950000e-02   4.9666667e+01   7.3927317e+00
   2.4000000e-02   4.9625000e+01   7.3820513e+00
   2.4050000e-02   4.9500000e+01   7.5003546e+00
   2.4100000e-02   4.9395833e+01   7.3679570e+00
   2.4150000e-02   4.9291667e+01   7.5342010e+00
   2.4200000e-02   4.9312500e+01   7.5319356e+00
   2.4250000e-02   4.9187500e+01   7.6203989e+00
   2.4300000e-02   4.8979167e+01   7.5638828e+00
   2.4350000e-02   4.9062500e+01   7.4616930e+00
   2.4400000e-02   4.9062500e+01   7.5354658e+00
   2.4450000e-02   4.9104167e+01   7.4498025e+00
   2.4500000e-02   4.9062500e+01   7.6252834e+00
   2.4550000e-02   4.9187500e+01   7.6287704e+00
   2.4600000e-02   4.9104167e+01   7.5180339e+00
   2.4650000e-02   4.9020833e+01   7.5695065e+00
   2.4700000e-02   4.8895833e+01   7.4811524e+00
   2.4750000e-02   4.9041667e+01   7.5652012e+00
   2.4800000e-02   4.8937500e+01   7.5833138e+00
