t(s)	A(µM)	AB(µM)	ABC(1/µm^2)	AC(1/µm^2)	(Var=B) B(µM)	BAC(1/µm^2)	BC(1/µm^2)	C(1/µm^2)	CABC(1/µm^2)
0.041054853626505114	0.6456658748600131	8.441296994314627E-4	0.051533542958571085	632.4911229929885	0.6456658748600131	0.05153354295857101	632.4911229929886	14870.336193203932	431.7892468658311
0.04161591432969299	0.6420553630658424	8.45945274886381E-4	0.05187479989700953	633.323930201779	0.6420553630658424	0.05187479989700953	633.3239302017791	14848.604795411666	441.8217972962355
0.04217697503288087	0.6384708772898096	8.476247176885914E-4	0.052212996687221055	634.065154043203	0.6384708772898096	0.052212996687221076	634.0651540432032	14827.029304060421	451.8679809336433
0.04303100343465678	0.6330641102421635	8.499269178013546E-4	0.05272219493323613	635.0253716165674	0.6330641102421635	0.05272219493323612	635.0253716165676	14794.483868845997	467.1799717692453
0.04388503183643269	0.6277162594887405	8.519319129555501E-4	0.053225007641973694	635.7930725369624	0.6277162594887405	0.05322500764197373	635.7930725369625	14762.29143332765	482.50798579531505
0.0447390602382086	0.6224265054420389	8.536502438889898E-4	0.053721822762499816	636.3794034909545	0.6224265054420389	0.053721822762499774	636.3794034909546	14730.44712608695	497.8433116465519
0.045593088639984514	0.6171940412901924	8.550921174237073E-4	0.05421300129102518	636.7949697633507	0.6171940412901924	0.05421300129102512	636.7949697633508	14698.946150577363	513.17774195042
0.046447117041760425	0.6120180728723496	8.562674172724372E-4	0.054698878983669326	637.049853897316	0.6120180728723496	0.05469887898366934	637.0498538973161	14667.783784442272	528.5035550063081
0.047301145443536335	0.6068978185486933	8.571857145269716E-4	0.05517976790246759	637.1536345510709	0.6068978185486933	0.055179767902467584	637.153634551071	14636.955378798462	543.8134962855388
0.04858436659189787	0.5993074389517757	8.581025749596296E-4	0.055893578722694834	637.0453123061578	0.5993074389517757	0.0558935787226948	637.0453123061579	14591.25198571107	566.7728012633282
0.0498675877402594	0.5918385512875495	8.584902760188731E-4	0.056597671332453574	636.6451623638171	0.5918385512875495	0.05659767133245357	636.6451623638172	14546.277028159488	589.6597258888503
0.05115080888862093	0.5844886591572528	8.583776066345424E-4	0.057292844813742534	635.9798486127459	0.5844886591572528	0.0572928448137425	635.979848612746	14502.01564744559	612.455034823389
0.052434030036982465	0.5772553262721228	8.577920033637618E-4	0.05797981091407479	635.0739507036659	0.5772553262721228	0.05797981091407478	635.073950703666	14458.453338543339	635.1414002174943
0.053717251185344	0.5701361752396417	8.567596145672226E-4	0.05865920278464934	633.9501035970566	0.5701361752396417	0.05865920278464936	633.9501035970567	14415.575943193338	657.7032656072334
0.05500047233370553	0.5631288863298319	8.553053618382839E-4	0.059331582614823755	632.6291316751032	0.5631288863298319	0.059331582614823755	632.6291316751033	14373.369642858499	680.1267153167769
0.05628369348206706	0.5562311962249572	8.534529985622356E-4	0.05999744873074076	631.1301771001816	0.5562311962249572	0.05999744873074077	631.1301771001818	14331.820951561402	702.3993496741317
0.057566914630428595	0.5494408967510415	8.512251653375908E-4	0.06065724232015321	629.4708221491621	0.5494408967510415	0.06065724232015322	629.4708221491624	14290.916708592535	724.5101663159954
0.05885013577879013	0.5427558335981878	8.486434424200536E-4	0.061311353230738774	627.6672050950073	0.5427558335981878	0.06131135323073876	627.6672050950075	14250.644071131295	746.4494479898594
0.06013335692715166	0.5361739050389663	8.457283995609884E-4	0.06196012524650045	625.7341293269279	0.5361739050389663	0.06196012524650044	625.7341293269282	14210.990506838625	768.2086571322587
0.06141657807551319	0.5296930606509581	8.42499643473042E-4	0.06260386117042907	623.6851656998325	0.529693060650958	0.06260386117042907	623.6851656998327	14171.943786459995	789.7803372127455
0.06269979922387472	0.5233113000463047	8.389758629795477E-4	0.06324282713810352	621.5327482964151	0.5233113000463046	0.06324282713810349	621.5327482964153	14133.491976455103	811.1580206526415
0.06398302037223626	0.5170266716107036	8.351748718927572E-4	0.0638772564111695	619.2882638104957	0.5170266716107035	0.06387725641116947	619.2882638104959	14095.623431669726	832.3361431019763
0.06526624152059779	0.510837271255178	8.311136497428264E-4	0.06450735319756486	616.9621347460627	0.5108372712551779	0.06450735319756486	616.9621347460629	14058.32678807162	853.3099638686763
0.06654946266895932	0.5047412411840184	8.268083805101768E-4	0.06513329587013493	614.5638966617736	0.5047412411840183	0.0651332958701349	614.5638966617738	14021.590955570575	874.075492260815
0.06783268381732085	0.49873676868140726	8.222744894808147E-4	0.06575523956486261	612.1022697503498	0.49873676868140715	0.06575523956486257	612.10226975035	13985.405110938444	894.6294195446095
0.06911590496568239	0.49282208491838775	8.175266783086685E-4	0.06637331902008968	609.5852250733817	0.49282208491838764	0.06637331902008968	609.5852250733819	13949.758690841369	914.9690561906599
0.07039912611404392	0.48699546378154646	8.125789583648395E-4	0.06698765106846492	607.0200457681971	0.48699546378154634	0.06698765106846492	607.0200457681973	13914.641384991757	935.0922740886018
0.07168234726240545	0.4812552207247264	8.074446824638953E-4	0.06759833627688866	604.4133835315579	0.48125522072472626	0.06759833627688862	604.4133835315581	13880.043129427477	954.9974534221732
0.07296556841076698	0.47559971164491294	8.021365750585324E-4	0.06820546096949827	601.7713106812781	0.4755997116449128	0.06820546096949827	601.7713106812784	13845.954099928162	974.683433897418
0.07424878955912852	0.4700273317828557	7.96666760982843E-4	0.06880909942406588	599.0993680888544	0.4700273317828556	0.06880909942406589	599.0993680888546	13812.364705572094	994.1494700294215
0.07553201070749005	0.46453651465016826	7.91046792822558E-4	0.06940931449775994	596.4026093088801	0.46453651465016815	0.06940931449775987	596.4026093088803	13779.265582441121	1013.3951901598092
0.07681523185585158	0.4591257309811583	7.852876769686601E-4	0.070006159195623	593.6856411239779	0.45912573098115816	0.070006159195623	593.6856411239781	13746.647587468464	1032.4205589863416
0.07809845300421311	0.45379348771083855	7.793998984292099E-4	0.07059967883830646	590.952660801443	0.45379348771083844	0.07059967883830653	590.9526608014432	13714.501792437917	1051.2258433045065
0.07938167415257465	0.4485383269796242	7.733934444656881E-4	0.07118991094272353	588.207490319682	0.4485383269796241	0.07118991094272346	588.2074903196823	13682.819478132089	1069.8115807070767
0.08066489530093618	0.44335882516430486	7.67277827111378E-4	0.0717768856912662	585.4536077874441	0.44335882516430475	0.07177688569126611	585.4536077874443	13651.592128633329	1088.1785510139457
0.08194811644929771	0.4382535919348412	7.610621046269644E-4	0.07236062887437697	582.694176266897	0.4382535919348411	0.0723606288743771	582.6941762668972	13620.811425778717	1106.3277502186156
0.08323133759765924	0.43322126933684063	7.547549019470846E-4	0.07294116169913971	579.9320702080009	0.4332212693368405	0.07294116169913967	579.9320702080012	13590.469243757349	1124.2603667553708
0.08451455874602078	0.4282605308996102	7.483644301682796E-4	0.07351849906163696	577.1698996902834	0.4282605308996101	0.07351849906163672	577.1698996902836	13560.557643852811	1141.9777598879941
0.08579777989438231	0.4233700807694768	7.418985051275043E-4	0.07409265340544571	574.4100326499685	0.4233700807694767	0.07409265340544592	574.4100326499687	13531.068869343513	1159.4814400286143
0.08708100104274384	0.4185486528678871	7.353645651176403E-4	0.07466363637475608	571.6546152541845	0.418548652867887	0.07466363637475623	571.6546152541847	13501.995340542631	1176.7730508418708
0.08836422219110537	0.4137950100737705	7.287696877802795E-4	0.0752314533740174	568.9055905727573	0.4137950100737704	0.0752314533740169	568.9055905727575	13473.329649965035	1193.854352995097
0.0896474433394669	0.4091079434297013	7.221206062159913E-4	0.07579610670079377	566.16471568857	0.4091079434297012	0.07579610670079386	566.1647156885701	13445.064557649972	1210.7272093834897
0.09093066448782844	0.40448627137140025	7.154237243548072E-4	0.07635760316115793	563.4335773768246	0.40448627137140014	0.07635760316115865	563.4335773768247	13417.192986628803	1227.3935717093589
0.09221388563618997	0.3999288389799372	7.086851316195263E-4	0.0769159430495551	560.713606467817	0.3999288389799371	0.07691594304955507	560.713606467817	13389.708018487934	1243.8554683489128
0.0934971067845515	0.3954345172565211	7.019106169192387E-4	0.0774711227885212	558.0060910248691	0.395434517256521	0.07747112278852103	558.0060910248691	13362.60288909104	1260.114993310569
0.09478032793291304	0.3910022024185523	6.9510568200178E-4	0.07802314587462418	555.3121883988824	0.3910022024185522	0.07802314587462515	555.3121883988824	13335.870984442097	1276.17429623794
0.09606354908127457	0.38663081521680337	6.882755542001625E-4	0.07857201203603681	552.6329362749688	0.38663081521680326	0.07857201203603674	552.6329362749686	13309.505836628432	1292.0355734025254
0.0973467702296361	0.3823193002733071	6.814251985974477E-4	0.07911770924348897	549.9692628039024	0.382319300273307	0.07911770924348743	549.9692628039023	13283.501119890658	1307.7010595452718
