t	A	AB	ABC	AC	B	BAC	BC	C CABC
5.82400000000028	0.26691504112488534	4.273725604649243E-5	0.002817234023114225	19.99556234744033	0.26691504112488534	0.002817234023114225	19.99556234744033	3564.287149628108	75.39963642436312
5.82500000000028	0.2669147628710849	4.2726029509922586E-5	0.002817234036408912	19.995562291733908	0.2669147628710849	0.002817234036408912	19.995562291733908	3564.2871490489765	75.39963676962839
5.82600000000028	0.2669144852506319	4.27148273895378E-5	0.0028172340489598276	19.995562236154566	0.2669144852506319	0.0028172340489598276	19.995562236154566	3564.2871484711677	75.3996371141077
5.827000000000281	0.26691420826207213	4.270364963218943E-5	0.0028172340616947618	19.995562180701974	0.26691420826207213	0.0028172340616947618	19.995562180701974	3564.2871478946527	75.39963745780344
5.828000000000281	0.2669139319039761	4.269249618482719E-5	0.002817234075144716	19.99556212537578	0.2669139319039761	0.002817234075144716	19.99556212537578	3564.2871473194627	75.39963780071695
5.829000000000281	0.26691365617490076	4.268136699466117E-5	0.00281723408824406	19.995562070175655	0.26691365617490076	0.00281723408824406	19.995562070175655	3564.287146745569	75.39963814285021
5.830000000000282	0.26691338107342705	4.267026200901873E-5	0.002817234100727178	19.995562015101463	0.26691338107342705	0.002817234100727178	19.995562015101463	3564.2871461729924	75.39963848420754
5.831000000000282	0.26691310659811635	4.265918117520869E-5	0.0028172341135265086	19.995561960152834	0.26691310659811635	0.0028172341135265086	19.995561960152834	3564.2871456016906	75.399638824788
5.832000000000282	0.2669128327475427	4.264812444070389E-5	0.002817234126365613	19.99556190532945	0.2669128327475427	0.002817234126365613	19.99556190532945	3564.287145031712	75.3996391645946
5.833000000000283	0.2669125595202756	4.26370917530725E-5	0.0028172341389738147	19.995561850631155	0.2669125595202756	0.0028172341389738147	19.995561850631155	3564.2871444630237	75.39963950363054
5.834000000000283	0.26691228691490976	4.2626083060016427E-5	0.002817234151283976	19.99556179605741	0.26691228691490976	0.002817234151283976	19.99556179605741	3564.28714389563	75.39963984189346
5.835000000000283	0.26691201493002614	4.2615098309374683E-5	0.0028172341641177373	19.995561741608146	0.26691201493002614	0.0028172341641177373	19.995561741608146	3564.2871433295036	75.3996401793882
5.836000000000284	0.2669117435642048	4.260413744920382E-5	0.0028172341761404326	19.99556168728318	0.2669117435642048	0.0028172341761404326	19.99556168728318	3564.2871427646696	75.3996405161151
5.837000000000284	0.26691147281603633	4.259320042741489E-5	0.002817234188536869	19.995561633081984	0.26691147281603633	0.002817234188536869	19.995561633081984	3564.287142201137	75.39964085207686
