t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
3.8548223132409804E-4	0.9714735814164713	1.818689290900395E-5	4.027127512895407E-5	12.904406930540842	0.9714735814164713	4.027127512895408E-5	12.904406930540842	16973.188499504005	0.0013030461792275661
4.130287777120302E-4	0.9694685608413273	1.940591486151719E-5	4.3290815393509156E-5	13.811260840122955	0.9694685608413273	4.329081539350916E-5	13.811260840122955	16971.374247586416	0.0015720758525420615
4.405753240999624E-4	0.9674679485690598	2.0614549665874228E-5	4.628939721356712E-5	14.716090565558039	0.9674679485690598	4.628939721356712E-5	14.716090565558039	16969.563977534996	0.001874377547928661
4.6812187048789455E-4	0.9654717340266679	2.181286418832641E-5	4.926718511858518E-5	15.618899091405977	0.9654717340266679	4.926718511858518E-5	15.618899091405977	16967.75767983773	0.0022117225455807726
5.142288139072588E-4	0.9621403156624582	2.379567138473268E-5	5.420528340626509E-5	17.125490137635836	0.9621403156624582	5.420528340626509E-5	17.125490137635836	16964.74319212511	0.0028595945212954096
5.603357573266231E-4	0.9588211389673876	2.575006109436022E-5	5.908631629185733E-5	18.62644104000922	0.9588211389673876	5.908631629185733E-5	18.62644104000922	16961.739762274134	0.003618736608276123
6.064427007459874E-4	0.9555141549039543	2.767633950441985E-5	6.391096664222055E-5	20.121765781471154	0.9555141549039543	6.391096664222055E-5	20.121765781471154	16958.747346164408	0.0044972253567494526
6.525496441653517E-4	0.9522193146585153	2.957480977952755E-5	6.868014654712838E-5	21.611478339644453	0.9522193146585153	6.86801465471284E-5	21.611478339644453	16955.765899876005	0.005503042207420378
6.98656587584716E-4	0.9489365696400767	3.1445772090650035E-5	7.339491710789873E-5	23.09559268669316	0.9489365696400767	7.339491710789875E-5	23.09559268669316	16952.795379688134	0.006644074322804509
7.447635310040803E-4	0.9456658714790857	3.328952364380513E-5	7.80561771238305E-5	24.574122789184926	0.9456658714790857	7.80561771238305E-5	24.574122789184926	16949.835742077514	0.007928115881165442
7.908704744234446E-4	0.9424071720262306	3.5106358708963045E-5	8.26646461335008E-5	26.047082607953506	0.9424071720262306	8.266464613350081E-5	26.047082607953506	16946.88694371724	0.009362868778606067
8.369774178428089E-4	0.9391604233512489	3.689656864884988E-5	8.722107885754884E-5	27.514486097961516	0.9391604233512489	8.722107885754885E-5	27.514486097961516	16943.94894147619	0.010955942863256825
8.830843612621732E-4	0.9359255777417498	3.8660441947141236E-5	9.172633488347289E-5	28.976347208162803	0.9359255777417498	9.172633488347289E-5	28.976347208162803	16941.02169241809	0.012714856455050993
9.562989569978524E-4	0.9308132104549531	4.1407935479731485E-5	9.87772266118975E-5	31.286326418601977	0.9308132104549531	9.877722661189743E-5	31.286326418601977	16936.3954158821	0.015866863122281954
0.0010295135527335318	0.9257305482531578	4.4090869011551304E-5	1.0570434584028183E-4	33.582421348579885	0.9257305482531578	1.0570434584028171E-4	33.582421348579885	16931.79597586702	0.019485013565862335
0.0011027281484692112	0.9206774034372097	4.6710353946264596E-5	1.1251084961406857E-4	35.864687750943354	0.9206774034372097	1.1251084961406844E-4	35.864687750943354	16927.223203441124	0.023598017645972604
0.0011759427442048906	0.915653589655072	4.926748427952668E-5	1.1919982477506419E-4	38.133181335768185	0.915653589655072	1.191998247750641E-4	38.133181335768185	16922.676930876474	0.028234026169232658
0.00124915733994057	0.9106589218903988	5.176333686497256E-5	1.2577429195863627E-4	40.38795776895101	0.9106589218903988	1.2577429195863624E-4	40.38795776895101	16918.156991638825	0.0334206373418587
