	time(s)		A copies
   1.0327947e-05   9.9213620e+04
   1.0568760e-05   9.9195430e+04
   1.0815187e-05   9.9176823e+04
   1.1067360e-05   9.9157789e+04
   1.1325413e-05   9.9138319e+04
   1.1589483e-05   9.9118403e+04
   1.1859710e-05   9.9098031e+04
   1.2136238e-05   9.9077192e+04
   1.2419214e-05   9.9055877e+04
   1.2708787e-05   9.9034074e+04
   1.3005113e-05   9.9011773e+04
   1.3308347e-05   9.8988962e+04
   1.3618652e-05   9.8965630e+04
   1.3936193e-05   9.8941765e+04
   1.4261137e-05   9.8917356e+04
   1.4593658e-05   9.8892391e+04
   1.4933932e-05   9.8866856e+04
   1.5282140e-05   9.8840740e+04
   1.5638468e-05   9.8814028e+04
   1.6003103e-05   9.8786709e+04
   1.6376241e-05   9.8758769e+04
   1.6758079e-05   9.8730193e+04
   1.7148820e-05   9.8700969e+04
   1.7548671e-05   9.8671081e+04
   1.7957846e-05   9.8640514e+04
   1.8376562e-05   9.8609255e+04
   1.8805041e-05   9.8577287e+04
   1.9243510e-05   9.8544595e+04
   1.9692203e-05   9.8511164e+04
   2.0151357e-05   9.8476976e+04
   2.0621218e-05   9.8442016e+04
   2.1102034e-05   9.8406266e+04
   2.1594062e-05   9.8369710e+04
   2.2097561e-05   9.8332329e+04
   2.2612801e-05   9.8294107e+04
   2.3140054e-05   9.8255023e+04
   2.3679601e-05   9.8215061e+04
   2.4231728e-05   9.8174201e+04
   2.4796729e-05   9.8132422e+04
   2.5374904e-05   9.8089707e+04
   2.5966560e-05   9.8046034e+04
   2.6572011e-05   9.8001383e+04
   2.7191579e-05   9.7955733e+04
   2.7825594e-05   9.7909063e+04
   2.8474392e-05   9.7861350e+04
   2.9138317e-05   9.7812574e+04
   2.9817723e-05   9.7762710e+04
   3.0512970e-05   9.7711736e+04
   3.1224428e-05   9.7659628e+04
   3.1952475e-05   9.7606363e+04
   3.2697497e-05   9.7551916e+04
   3.3459891e-05   9.7496263e+04
   3.4240061e-05   9.7439378e+04
   3.5038422e-05   9.7381235e+04
   3.5855399e-05   9.7321808e+04
   3.6691424e-05   9.7261070e+04
   3.7546942e-05   9.7198995e+04
   3.8422408e-05   9.7135554e+04
   3.9318288e-05   9.7070720e+04
   4.0235055e-05   9.7004463e+04
   4.1173199e-05   9.6936755e+04
   4.2133217e-05   9.6867567e+04
   4.3115620e-05   9.6796867e+04
   4.4120929e-05   9.6724625e+04
   4.5149678e-05   9.6650811e+04
   4.6202414e-05   9.6575392e+04
   4.7279696e-05   9.6498336e+04
   4.8382097e-05   9.6419611e+04
   4.9510202e-05   9.6339183e+04
   5.0664610e-05   9.6257019e+04
   5.1845935e-05   9.6173084e+04
   5.3054805e-05   9.6087343e+04
   5.4291862e-05   9.5999761e+04
   5.5557762e-05   9.5910302e+04
   5.6853179e-05   9.5818930e+04
   5.8178801e-05   9.5725607e+04
   5.9535331e-05   9.5630296e+04
   6.0923492e-05   9.5532959e+04
   6.2344019e-05   9.5433558e+04
   6.3797668e-05   9.5332053e+04
   6.5285211e-05   9.5228404e+04
   6.6807439e-05   9.5122572e+04
   6.8365160e-05   9.5014515e+04
   6.9959202e-05   9.4904192e+04
   7.1590411e-05   9.4791563e+04
   7.3259654e-05   9.4676583e+04
   7.4967819e-05   9.4559211e+04
   7.6715812e-05   9.4439403e+04
   7.8504562e-05   9.4317116e+04
   8.0335020e-05   9.4192304e+04
   8.2208158e-05   9.4064924e+04
   8.4124970e-05   9.3934931e+04
   8.6086477e-05   9.3802277e+04
   8.8093719e-05   9.3666918e+04
   9.0147763e-05   9.3528806e+04
   9.2249701e-05   9.3387896e+04
   9.4400648e-05   9.3244138e+04
   9.6601748e-05   9.3097486e+04
   9.8854170e-05   9.2947892e+04
   1.0115911e-04   9.2795306e+04
   1.0351780e-04   9.2639681e+04
   1.0593148e-04   9.2480966e+04
   1.0840144e-04   9.2319112e+04
   1.1092899e-04   9.2154071e+04
   1.1351547e-04   9.1985790e+04
   1.1616226e-04   9.1814221e+04
   1.1887077e-04   9.1639313e+04
   1.2164243e-04   9.1461016e+04
   1.2447871e-04   9.1279278e+04
