	time (s)	 A copies (not exactly 1E5 due to volume/conc precision)
   2.2163169e-01   7.5762818e+02
   2.2643688e-01   7.4853846e+02
   2.3124207e-01   7.3993618e+02
   2.3604726e-01   7.3179006e+02
   2.4085245e-01   7.2407130e+02
   2.4565764e-01   7.1675332e+02
   2.5046282e-01   7.0981159e+02
   2.5526801e-01   7.0322339e+02
   2.6007320e-01   6.9696769e+02
   2.6487839e-01   6.9102497e+02
   2.6968358e-01   6.8537712e+02
   2.7448877e-01   6.8000728e+02
   2.7929396e-01   6.7489974e+02
   2.8409914e-01   6.7003986e+02
   2.9141368e-01   6.6308699e+02
   2.9872821e-01   6.5663231e+02
   3.0604275e-01   6.5063579e+02
   3.1335728e-01   6.4506114e+02
   3.2067181e-01   6.3987545e+02
   3.2798635e-01   6.3504877e+02
   3.3530088e-01   6.3055385e+02
   3.4261541e-01   6.2636575e+02
   3.4992995e-01   6.2246172e+02
   3.5724448e-01   6.1882089e+02
   3.6455902e-01   6.1542413e+02
   3.7187355e-01   6.1225387e+02
   3.7918808e-01   6.0929397e+02
   3.8650262e-01   6.0652955e+02
   3.9381715e-01   6.0394690e+02
   4.0113169e-01   6.0153337e+02
   4.0844622e-01   5.9927727e+02
   4.1576075e-01   5.9716781e+02
   4.2307529e-01   5.9519499e+02
   4.3038982e-01   5.9334954e+02
   4.3770436e-01   5.9162290e+02
   4.4501889e-01   5.9000709e+02
   4.5233342e-01   5.8849474e+02
   4.5964796e-01   5.8707897e+02
   4.6696249e-01   5.8575342e+02
   4.7427702e-01   5.8451213e+02
   4.8159156e-01   5.8334961e+02
   4.8890609e-01   5.8226071e+02
   4.9622063e-01   5.8124063e+02
   5.0353516e-01   5.8028493e+02
   5.1084969e-01   5.7938945e+02
   5.1816423e-01   5.7855030e+02
   5.2547876e-01   5.7776386e+02
   5.3279330e-01   5.7702677e+02
   5.4010783e-01   5.7633587e+02
   5.4742236e-01   5.7568821e+02
   5.5473690e-01   5.7508105e+02
   5.6205143e-01   5.7451181e+02
   5.6936597e-01   5.7397809e+02
   5.7668050e-01   5.7347764e+02
   5.8399503e-01   5.7300837e+02
   5.9130957e-01   5.7256830e+02
   6.0229858e-01   5.7195807e+02
   6.1328758e-01   5.7140390e+02
   6.2427659e-01   5.7090059e+02
   6.3526560e-01   5.7044343e+02
   6.4625461e-01   5.7002818e+02
   6.5724361e-01   5.6965095e+02
   6.6823262e-01   5.6930825e+02
   6.7922163e-01   5.6899689e+02
   6.9021064e-01   5.6871400e+02
   7.0119964e-01   5.6845696e+02
   7.1218865e-01   5.6822340e+02
   7.2317766e-01   5.6801117e+02
   7.3416667e-01   5.6781830e+02
   7.4515567e-01   5.6764303e+02
   7.5614468e-01   5.6748375e+02
   7.6713369e-01   5.6733900e+02
   7.7812270e-01   5.6720744e+02
   7.8911171e-01   5.6708787e+02
   8.0010071e-01   5.6697920e+02
   8.1108972e-01   5.6688043e+02
   8.2207873e-01   5.6679065e+02
   8.3864739e-01   5.6667051e+02
   8.5521606e-01   5.6656647e+02
   8.7178473e-01   5.6647638e+02
   8.8835339e-01   5.6639836e+02
   9.0492206e-01   5.6633080e+02
   9.2149072e-01   5.6627230e+02
   9.3805939e-01   5.6622164e+02
   9.5462805e-01   5.6617776e+02
   9.7119672e-01   5.6613977e+02
   9.8776539e-01   5.6610686e+02
   1.0043341e+00   5.6607837e+02
   1.0209027e+00   5.6605369e+02
   1.0374714e+00   5.6603232e+02
   1.0540400e+00   5.6601381e+02
   1.0706087e+00   5.6599778e+02
   1.0871774e+00   5.6598389e+02
   1.1037460e+00   5.6597187e+02
   1.1288990e+00   5.6595661e+02
   1.1540520e+00   5.6594435e+02
   1.1792049e+00   5.6593448e+02
   1.2043579e+00   5.6592656e+02
   1.2295108e+00   5.6592019e+02
   1.2546638e+00   5.6591507e+02
   1.2798168e+00   5.6591095e+02
   1.3049697e+00   5.6590765e+02
   1.3301227e+00   5.6590499e+02
   1.3552757e+00   5.6590285e+02
   1.4007755e+00   5.6589998e+02
   1.4462753e+00   5.6589804e+02
   1.4917752e+00   5.6589674e+02
   1.5000000e+00   5.6589655e+02
