	time(us)     A(t)              StDev(A)
   2.2900000e-02   2.9208333e+01   5.9925981e+00
   2.3000000e-02   2.9125000e+01   6.0383737e+00
   2.3100000e-02   2.9041667e+01   5.9817052e+00
   2.3200000e-02   2.8875000e+01   5.9440324e+00
   2.3300000e-02   2.8750000e+01   5.9581876e+00
   2.3400000e-02   2.8708333e+01   5.9598597e+00
   2.3500000e-02   2.8625000e+01   5.9183760e+00
   2.3600000e-02   2.8458333e+01   5.9415937e+00
   2.3700000e-02   2.8375000e+01   5.8518856e+00
   2.3800000e-02   2.8291667e+01   5.7746008e+00
   2.3900000e-02   2.8208333e+01   5.6873557e+00
   2.4000000e-02   2.8166667e+01   5.6773131e+00
   2.4100000e-02   2.8041667e+01   5.7746008e+00
   2.4200000e-02   2.8000000e+01   5.6645350e+00
   2.4300000e-02   2.7958333e+01   5.7368312e+00
   2.4400000e-02   2.7875000e+01   5.7507088e+00
   2.4500000e-02   2.7833333e+01   5.6926090e+00
   2.4600000e-02   2.7708333e+01   5.6451531e+00
   2.4700000e-02   2.7708333e+01   5.6451531e+00
   2.4800000e-02   2.7666667e+01   5.6388919e+00
   2.4900000e-02   2.7583333e+01   5.5632073e+00
   2.5000000e-02   2.7416667e+01   5.4924190e+00
   2.5100000e-02   2.7333333e+01   5.4745789e+00
   2.5200000e-02   2.7208333e+01   5.5166087e+00
   2.5300000e-02   2.7000000e+01   5.4053114e+00
   2.5400000e-02   2.7000000e+01   5.4053114e+00
   2.5500000e-02   2.6916667e+01   5.4447156e+00
   2.5600000e-02   2.6833333e+01   5.4026295e+00
   2.5700000e-02   2.6791667e+01   5.2913314e+00
   2.5800000e-02   2.6750000e+01   5.3344655e+00
   2.5900000e-02   2.6583333e+01   5.3317480e+00
   2.6000000e-02   2.6416667e+01   5.2578444e+00
   2.6100000e-02   2.6375000e+01   5.2487058e+00
   2.6200000e-02   2.6250000e+01   5.1772916e+00
   2.6300000e-02   2.6166667e+01   5.1555514e+00
   2.6400000e-02   2.6041667e+01   5.1031036e+00
   2.6500000e-02   2.5916667e+01   5.0209705e+00
   2.6600000e-02   2.5833333e+01   5.0101347e+00
   2.6700000e-02   2.5791667e+01   5.0474201e+00
   2.6800000e-02   2.5666667e+01   5.0619352e+00
   2.6900000e-02   2.5541667e+01   5.1581861e+00
   2.7000000e-02   2.5541667e+01   5.1581861e+00
   2.7100000e-02   2.5458333e+01   5.1750166e+00
   2.7200000e-02   2.5375000e+01   5.2487058e+00
