"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,35,0,0,2.10E-04,2.13E-04,2.20E-04,2.35E-04,2.62E-04,3.07E-04,3.85E-04,5.28E-04,8.07E-04,0.001336389,0.001507063,9.52E-04,6.13E-04,4.32E-04,3.32E-04,2.73E-04,2.38E-04,2.16E-04,2.03E-04,1.98E-04,1.95E-04,0,0,,0.001507063,0.000194745,0.000460199,,7.738645218
,36,0,0,2.54E-04,2.58E-04,2.66E-04,2.85E-04,3.17E-04,3.71E-04,4.64E-04,6.32E-04,9.53E-04,0.001539109,0.00172841,0.001118815,7.33E-04,5.21E-04,4.01E-04,3.31E-04,2.88E-04,2.61E-04,2.46E-04,2.39E-04,2.36E-04,0,0,,0.00172841,0.00023568,0.000544907,,7.333702429
,37,0,0,3.12E-04,3.17E-04,3.27E-04,3.50E-04,3.89E-04,4.56E-04,5.68E-04,7.67E-04,0.001136786,0.001788595,0.001999014,0.001327589,8.85E-04,6.36E-04,4.92E-04,4.06E-04,3.54E-04,3.21E-04,3.03E-04,2.94E-04,2.90E-04,0,0,,0.001999014,0.000289659,0.00065328,,6.90127255
,38,0,0,3.88E-04,3.94E-04,4.07E-04,4.35E-04,4.84E-04,5.65E-04,7.01E-04,9.38E-04,0.001365253,0.002090854,0.002324651,0.001584764,0.00107809,7.83E-04,6.09E-04,5.04E-04,4.39E-04,3.99E-04,3.76E-04,3.65E-04,3.60E-04,0,0,,0.002324651,0.000360106,0.000790146,,6.455470023
,39,0,0,4.88E-04,4.95E-04,5.11E-04,5.46E-04,6.06E-04,7.07E-04,8.73E-04,0.001154909,0.001648295,0.002456265,0.002715744,0.001900479,0.001320229,9.71E-04,7.61E-04,6.32E-04,5.51E-04,5.01E-04,4.72E-04,4.59E-04,4.52E-04,0,0,,0.002715744,0.000452223,0.00096295,,6.005326421
,40,0,0,6.19E-04,6.28E-04,6.48E-04,6.92E-04,7.68E-04,8.92E-04,0.001094674,0.001430634,0.002000473,0.002900572,0.003188321,0.002289727,0.001625603,0.001212769,9.58E-04,7.99E-04,6.98E-04,6.36E-04,5.99E-04,5.82E-04,5.74E-04,0,0,,0.003188321,0.000573763,0.001182673,,5.556862967
,41,0,0,7.94E-04,8.07E-04,8.32E-04,8.87E-04,9.82E-04,0.001136976,0.001384404,0.001785115,0.00244368,0.003447851,0.003767044,0.002775185,0.002014797,0.001526597,0.001217887,0.001020826,8.95E-04,8.15E-04,7.69E-04,7.47E-04,7.37E-04,0,0,,0.003767044,0.000736661,0.001465961,,5.113670093
,42,0,0,0.001035391,0.001051502,0.001083724,0.001153907,0.00127451,0.001467574,0.001770927,0.002250096,0.003013172,0.004137228,0.004492123,0.003393514,0.002520803,0.00194218,0.001566409,0.001321591,0.001162456,0.001061431,0.001001896,9.74E-04,9.61E-04,0,0,,0.004492123,0.000960519,0.001839774,,4.676764734
,43,0,0,0.001380842,0.001401724,0.001443489,0.001533976,0.00168803,0.001931212,0.00230592,0.002882736,0.003772711,0.005039755,0.005436673,0.004211195,0.003203099,0.002512871,0.002052167,0.001745406,0.00154271,0.001412519,0.001335197,0.001299214,0.001281223,0,0,,0.005436673,0.001281223,0.002352984,,4.243346699
,44,0,0,0.001915277,0.001942981,0.001998389,0.002117685,0.002318613,0.00263085,0.00310187,0.003807538,0.004861452,0.006310522,0.006760289,0.005373471,0.004191344,0.003354772,0.002780084,0.002388299,0.002124624,0.001952947,0.001850033,0.001801878,0.001777801,0,0,,0.006760289,0.001777801,0.003112415,,3.802613462
,45,0,0,0.002899671,0.002938583,0.003016409,0.003182674,0.003459073,0.003880652,0.004501184,0.00540272,0.006701086,0.008417188,0.008943566,0.007319984,0.005879009,0.004820845,0.004069807,0.003543592,0.003181586,0.002941911,0.002796531,0.002728026,0.002693773,0,0,,0.008943566,0.002693773,0.004443708,,3.320088551
,46,0,0,0.006007537,0.006075163,0.006210414,0.006495936,0.006961217,0.007651291,0.00863083,0.009991454,0.011848468,0.014149587,0.014841298,0.012700933,0.01066833,0.00909082,0.007915853,0.007058252,0.006448195,0.00603361,0.005777363,0.005655225,0.005594155,0,0,,0.014841298,0.005594155,0.008371711,,2.653000697
,47,0,0,0.068509258,0.068800649,0.06938343,0.070588315,0.072483382,0.075156985,0.078714991,0.083279406,0.088937198,0.095115438,0.096815237,0.091088626,0.084877209,0.079534894,0.07518298,0.071751871,0.069148487,0.067285568,0.06608932,0.065505346,0.065213359,0,0,,0.096815237,0.065213359,0.076355331,,1.484592089
,48,0,0,0.300084941,0.300537691,0.301443191,0.303311354,0.306237127,0.310338724,0.315754374,0.322648886,0.331181851,0.340826008,0.34331987,0.334042085,0.324421912,0.316125156,0.309290856,0.303835128,0.299647055,0.296619979,0.294660755,0.293699244,0.293218488,0,0,,0.34331987,0.293218488,0.311487842,,1.170867063
,49,0,0,0.396262899,0.396735355,0.397680268,0.399629719,0.40268255,0.406961657,0.412610987,0.419803785,0.428715436,0.438843675,0.441449788,0.431671445,0.421598573,0.412920148,0.405770477,0.400060388,0.395674718,0.392503227,0.390449649,0.389441526,0.388937465,0,0,,0.441449788,0.388937465,0.408114464,,1.135014824
,50,0,0,0.366950958,0.367415879,0.368345721,0.370264497,0.373270422,0.377486118,0.383056018,0.390155319,0.39896573,0.409014533,0.411603397,0.40189922,0.391941429,0.383377284,0.376330113,0.370706857,0.366390795,0.363271221,0.361251982,0.36026093,0.359765404,0,0,,0.411603397,0.359765404,0.378653515,,1.14408832
,51,0,0,0.267009214,0.267444836,0.26831608,0.270115015,0.272936248,0.276899253,0.282146653,0.288854052,0.297210766,0.306806663,0.309294001,0.300039833,0.290611426,0.282537211,0.275915272,0.270645596,0.266609758,0.26369773,0.261815207,0.260891988,0.260430379,0,0,,0.309294001,0.260430379,0.278106056,,1.187626431
,52,0,0,0.116179518,0.116520666,0.117202962,0.118615334,0.120840614,0.123988078,0.128194843,0.133639417,0.140542325,0.148727077,0.150903041,0.143054208,0.135330328,0.128843674,0.123602353,0.119481441,0.116356272,0.114118813,0.112680702,0.111978008,0.111626661,0,0,,0.150903041,0.111626661,0.125353635,,1.35185483
,53,0,0,4.43E-04,4.49E-04,4.62E-04,4.90E-04,5.40E-04,6.22E-04,7.60E-04,9.99E-04,0.001435683,0.002198222,0.002442642,0.001659888,0.001141079,8.42E-04,6.66E-04,5.60E-04,4.94E-04,4.54E-04,4.30E-04,4.20E-04,4.14E-04,0,0,,0.002442642,0.000414169,0.000853447,,5.897693431
,54,0,0,1.68E-04,1.71E-04,1.76E-04,1.88E-04,2.10E-04,2.46E-04,3.09E-04,4.25E-04,6.62E-04,0.001128763,0.001278929,7.84E-04,4.96E-04,3.47E-04,2.66E-04,2.19E-04,1.90E-04,1.73E-04,1.63E-04,1.58E-04,1.56E-04,0,0,,0.001278929,0.000155888,0.000376737,,8.204143213
,55,0,0,1.54E-04,1.56E-04,1.61E-04,1.72E-04,1.92E-04,2.25E-04,2.83E-04,3.92E-04,6.13E-04,0.001056283,0.001198625,7.27E-04,4.57E-04,3.19E-04,2.44E-04,2.00E-04,1.74E-04,1.58E-04,1.49E-04,1.45E-04,1.43E-04,0,0,,0.001198625,0.000142765,0.000348556,,8.395775309
,56,0,0,1.67E-04,1.70E-04,1.75E-04,1.87E-04,2.09E-04,2.45E-04,3.08E-04,4.24E-04,6.60E-04,0.001125722,0.001275383,7.82E-04,4.95E-04,3.46E-04,2.65E-04,2.18E-04,1.89E-04,1.72E-04,1.62E-04,1.57E-04,1.55E-04,0,0,,0.001275383,0.000155124,0.000375626,,8.221714232
,57,0,0,1.94E-04,1.97E-04,2.04E-04,2.18E-04,2.42E-04,2.84E-04,3.57E-04,4.90E-04,7.54E-04,0.001260263,0.001423551,8.90E-04,5.70E-04,4.00E-04,3.07E-04,2.53E-04,2.20E-04,2.00E-04,1.88E-04,1.83E-04,1.80E-04,0,0,,0.001423551,0.000180076,0.000429217,,7.905272329
,58,0,0,2.33E-04,2.36E-04,2.44E-04,2.61E-04,2.90E-04,3.40E-04,4.26E-04,5.82E-04,8.83E-04,0.001442737,0.001623362,0.001039198,6.75E-04,4.78E-04,3.68E-04,3.03E-04,2.64E-04,2.39E-04,2.25E-04,2.19E-04,2.16E-04,0,0,,0.001623362,0.000215885,0.000504247,,7.519573225
,59,0,0,2.84E-04,2.89E-04,2.98E-04,3.18E-04,3.55E-04,4.15E-04,5.18E-04,7.03E-04,0.001049394,0.001670797,0.001871472,0.001228568,8.12E-04,5.81E-04,4.48E-04,3.70E-04,3.22E-04,2.92E-04,2.75E-04,2.68E-04,2.64E-04,0,0,,0.001871472,0.000263689,0.000601566,,7.097278374
,60,0,0,3.52E-04,3.57E-04,3.69E-04,3.94E-04,4.38E-04,5.13E-04,6.38E-04,8.56E-04,0.001256874,0.001948411,0.002171461,0.001463054,9.86E-04,7.12E-04,5.53E-04,4.57E-04,3.98E-04,3.62E-04,3.41E-04,3.31E-04,3.26E-04,0,0,,0.002171461,0.000326236,0.000724921,,6.656105645
,61,0,0,4.40E-04,4.47E-04,4.61E-04,4.92E-04,5.47E-04,6.39E-04,7.91E-04,0.001051445,0.001513993,0.002283959,0.00253164,0.001751033,0.001204918,8.81E-04,6.88E-04,5.71E-04,4.97E-04,4.52E-04,4.26E-04,4.14E-04,4.08E-04,0,0,,0.00253164,0.000407869,0.000880519,,6.207001691
,62,0,0,5.55E-04,5.64E-04,5.82E-04,6.21E-04,6.90E-04,8.03E-04,9.88E-04,0.001298759,0.001832967,0.002690492,0.002965229,0.002105054,0.001479874,0.001096843,8.63E-04,7.19E-04,6.27E-04,5.71E-04,5.38E-04,5.23E-04,5.15E-04,0,0,,0.002965229,0.000515036,0.001077544,,5.757324215
,63,0,0,7.09E-04,7.20E-04,7.43E-04,7.92E-04,8.78E-04,0.001018579,0.001244699,0.001614925,0.002232046,0.003187925,0.003492585,0.002543914,0.001828366,0.001375551,0.001092549,9.13E-04,7.99E-04,7.28E-04,6.86E-04,6.67E-04,6.58E-04,0,0,,0.003492585,0.000657561,0.001329797,,5.311422994
,64,0,0,9.17E-04,9.32E-04,9.61E-04,0.001023426,0.001131898,0.001306552,0.001583274,0.002025335,0.002739323,0.003807366,0.004145642,0.003096843,0.002276771,0.001740814,0.001396909,0.001174931,0.001031619,9.41E-04,8.88E-04,8.63E-04,8.51E-04,0,0,,0.004145642,0.000850952,0.001658735,,4.871770402
,65,0,0,0.001209479,0.001228033,0.001265143,0.001345742,0.00148356,0.001702522,0.002042935,0.002573105,0.003402821,0.004602244,0.004979355,0.00381384,0.00286993,0.002232913,0.001812961,0.001536098,0.001354536,0.001238552,0.001169919,0.001138046,0.00112211,0,0,,0.004979355,0.00112211,0.002101135,,4.437494324
,66,0,0,0.001643129,0.001667437,0.001716053,0.001821034,0.001998742,0.002276914,0.00270066,0.003343425,0.004317706,0.005678676,0.006102953,0.004794212,0.003696537,0.002931314,0.002412508,0.002062636,0.001829168,0.001678122,0.001587974,0.001545901,0.001524865,0,0,,0.006102953,0.001524865,0.002729998,,4.002290567
,67,0,0,0.002367319,0.002400358,0.002466435,0.00260813,0.002845167,0.003209941,0.003753159,0.004553906,0.005727059,0.007307045,0.007794487,0.006291597,0.004983168,0.004038961,0.003379074,0.002922699,0.002612017,0.002407973,0.002284911,0.00222712,0.002198225,0,0,,0.007794487,0.002198225,0.003732322,,3.545808987
