iter A R
97200000 1057 1
97300000 1043 2
97400000 1039 2
97500000 1053 3
97600000 1032 4
97700000 985 3
97800000 978 2
97900000 966 2
98000000 935 3
98100000 932 3
98200000 925 2
98300000 922 3
98400000 919 3
98500000 910 5
98600000 935 5
98700000 923 6
98800000 916 5
98900000 924 2
99000000 935 3
99100000 943 4
99200000 939 4
99300000 930 5
99400000 950 3
99500000 950 5
99600000 920 2
99700000 921 3
99800000 924 3
99900000 917 4
100000000 883 7
100100000 872 5
100200000 860 4
100300000 810 3
100400000 775 2
100500000 744 5
100600000 712 2
100700000 708 6
100800000 695 3
100900000 653 5
101000000 632 8
101100000 618 7
101200000 593 4
101300000 542 3
101400000 527 8
101500000 504 10
101600000 482 7
101700000 468 5
101800000 444 9
101900000 435 15
102000000 418 4
102100000 408 10
102200000 370 7
102300000 347 11
102400000 325 15
102500000 325 16
102600000 319 13
102700000 305 11
102800000 311 13
102900000 285 11
103000000 273 15
103100000 297 13
103200000 322 18
103300000 311 8
103400000 318 16
103500000 326 11
103600000 320 12
103700000 331 7
103800000 327 10
103900000 314 12
104000000 288 12
104100000 252 16
104200000 217 14
104300000 199 18
104400000 180 25
104500000 142 24
104600000 114 28
104700000 93 36
104800000 55 55
104900000 33 72
105000000 8 131
105100000 4 198
105200000 3 273
105300000 1 330
105400000 0 400
105500000 2 479
105600000 1 547
105700000 0 607
105800000 0 642
105900000 0 678
106000000 0 734
106100000 1 782
106200000 0 810
106300000 1 845
106400000 3 872
106500000 2 901
106600000 0 928
106700000 1 963
106800000 4 990
106900000 2 1021
107000000 1 1054
107100000 0 1066
107200000 1 1069
107300000 2 1082
107400000 1 1105
107500000 1 1115
107600000 0 1134
107700000 0 1147
107800000 0 1162
107900000 1 1165
108000000 0 1193
108100000 0 1199
108200000 1 1203
108300000 0 1209
108400000 0 1212
108500000 0 1219
108600000 1 1224
108700000 1 1243
108800000 0 1249
108900000 0 1265
109000000 0 1278
109100000 0 1273
109200000 0 1282
109300000 0 1289
109400000 0 1289
109500000 0 1275
109600000 0 1261
109700000 0 1254
109800000 0 1248
109900000 0 1229
110000000 0 1218
110100000 0 1222
110200000 0 1224
110300000 0 1225
110400000 0 1209
110500000 1 1190
110600000 0 1183
110700000 0 1176
110800000 1 1173
110900000 0 1175
111000000 0 1160
111100000 1 1154
111200000 3 1146
111300000 1 1128
111400000 0 1125
111500000 0 1124
111600000 0 1115
111700000 1 1118
111800000 0 1120
111900000 2 1124
112000000 0 1125
112100000 0 1123
112200000 0 1119
112300000 0 1122
112400000 0 1114
112500000 1 1096
112600000 1 1079
112700000 0 1068
112800000 1 1052
112900000 1 1043
113000000 1 1031
113100000 1 1019
113200000 0 1003
113300000 0 988
113400000 1 968
113500000 0 963
113600000 0 957
113700000 0 950
113800000 1 946
113900000 1 932
114000000 0 931
114100000 0 936
114200000 0 932
114300000 0 940
114400000 0 952
114500000 0 954
114600000 0 944
114700000 2 942
114800000 2 927
114900000 0 913
115000000 0 907
115100000 0 891
115200000 1 886
115300000 0 876
115400000 0 873
115500000 0 866
115600000 1 846
115700000 1 825
115800000 1 820
115900000 0 809
116000000 1 803
116100000 0 799
116200000 1 796
116300000 1 780
116400000 0 778
116500000 2 777
116600000 1 756
116700000 2 744
116800000 1 733
116900000 0 724
117000000 0 712
117100000 1 713
117200000 1 710
117300000 1 698
117400000 1 695
117500000 3 694
117600000 1 681
117700000 1 676
